Persona atendida;Tipo de pasaporte;Tiempo de servicio (minutos)
82;Biométrico;1,367327119
83;Biométrico;3,477097995
84;Biométrico;0,512684415
85;Biométrico;1,357498985
86;Biométrico;1,617500024
87;Biométrico;0,88260537
88;Biométrico;0,802878851
89;Biométrico;1,367984537
90;Biométrico;0,266595498
91;Biométrico;1,395804771
92;Biométrico;0,466966154
93;Biométrico;1,508575156
94;Biométrico;1,735950373
95;Biométrico;1,291582355
96;Biométrico;1,209787078
97;Biométrico;1,993971096
98;Biométrico;0,958460146
99;Biométrico;1,01267462
100;Biométrico;3,520139854
101;Biométrico;0,130757117
102;Biométrico;0,961848855
103;Biométrico;1,427705419
104;Biométrico;0,021592917
105;Biométrico;0,240313024
106;Biométrico;3,265463695
107;Biométrico;2,069157752
108;Biométrico;2,258009698
109;Biométrico;1,07748893
110;Biométrico;0,088392296
111;Biométrico;0,102752359
112;Biométrico;0,561267776
113;Biométrico;0,499047522
114;Biométrico;1,764357944
115;Biométrico;0,441520652
116;Biométrico;0,7613984
117;Biométrico;2,4693921
118;Biométrico;2,460122166
119;Biométrico;0,80681785
120;Biométrico;1,051675885
121;Biométrico;0,921267892
122;Biométrico;0,188527603
123;Biométrico;0,567319966
124;Biométrico;1,029731208
125;Biométrico;0,566640063
126;Biométrico;1,366781068
127;Biométrico;1,082909989
128;Biométrico;2,684864553
129;Biométrico;5,795039623
130;Biométrico;1,020124347
131;Biométrico;1,774270898
132;Biométrico;0,730560345
133;Biométrico;4,959102556
134;Biométrico;0,390982854
135;Biométrico;5,105845401
136;Biométrico;0,851290424
137;Biométrico;0,513314688
138;Biométrico;0,033862349
139;Biométrico;4,953838534
140;Biométrico;3,298279252
141;Biométrico;0,541395354
142;Biométrico;0,177029568
143;Biométrico;1,458230928
144;Biométrico;6,095506706
145;Biométrico;1,479305798
146;Biométrico;2,447668019
147;Biométrico;0,074807045
148;Biométrico;0,4433633
149;Biométrico;0,520353287
150;Biométrico;0,318207846
151;Biométrico;2,643526766
152;Biométrico;0,939086625
153;Biométrico;0,127267168
154;Biométrico;0,929081007
155;Biométrico;1,134423275
156;Biométrico;0,779070057
157;Biométrico;0,463671617
158;Biométrico;2,035037701
159;Biométrico;0,153516502
160;Biométrico;0,149577831
161;Biométrico;1,772232486
162;Biométrico;2,671716155
163;Biométrico;0,229637008
164;Biométrico;1,433352555
165;Biométrico;0,01296483
166;Biométrico;0,447632497
167;Biométrico;1,068646048
168;Biométrico;1,423533023
169;Biométrico;0,53562001
170;Biométrico;0,588825896
171;Biométrico;1,1501104
172;Biométrico;1,79854286
173;Biométrico;1,380790793
174;Biométrico;2,778625391
175;Biométrico;0,404653325
176;Biométrico;0,018971071
177;Biométrico;0,861183662
178;Biométrico;0,105283636
179;Biométrico;0,424490409
180;Biométrico;2,361038779
181;Biométrico;1,522652413
182;Biométrico;1,11452927
183;Biométrico;0,802448012
184;Biométrico;0,845624415
185;Biométrico;0,137897346
186;Biométrico;0,338350097
187;Biométrico;2,55181123
188;Biométrico;2,198301944
189;Biométrico;0,44861011
190;Biométrico;2,556301671
191;Biométrico;0,703300147
192;Biométrico;5,084379864
193;Biométrico;3,346770029
194;Biométrico;0,388582777
195;Biométrico;1,432250679
196;Biométrico;0,247886844
197;Biométrico;1,498175057
198;Biométrico;9,217353487
199;Biométrico;0,877580593
200;Biométrico;0,359602516
201;Biométrico;0,533484182
202;Biométrico;0,315067569
203;Biométrico;0,239855725
204;Biométrico;1,408054819
205;Biométrico;0,63717557
206;Biométrico;0,599564156
207;Biométrico;2,099670527
208;Biométrico;0,098768103
209;Biométrico;0,603899286
210;Biométrico;1,033746999
211;Biométrico;4,450810546
212;Biométrico;0,086862765
213;Biométrico;0,024152703
214;Biométrico;1,073786416
215;Biométrico;1,537736667
216;Biométrico;0,254599826
217;Biométrico;0,5840806
218;Biométrico;3,666382776
219;Biométrico;0,242047507
220;Biométrico;0,160794639
221;Biométrico;0,426637628
222;Biométrico;2,462695483
223;Biométrico;1,088352291
224;Biométrico;0,117306443
225;Biométrico;0,912165169
226;Biométrico;0,431566479
227;Biométrico;3,433210039
228;Biométrico;1,632967781
229;Biométrico;0,029950995
230;Biométrico;1,065498753
231;Biométrico;1,639896229
232;Biométrico;0,447466709
233;Biométrico;0,648844539
234;Biométrico;3,344156213
235;Biométrico;0,702807379
236;Biométrico;0,158933907
237;Biométrico;1,080757697
238;Biométrico;1,099680488
239;Biométrico;0,205004161
240;Biométrico;0,248627951
241;Biométrico;2,509501121
242;Biométrico;0,242196732
243;Biométrico;1,38620627
244;Biométrico;0,470591499
245;Biométrico;1,70372702
246;Biométrico;1,636625107
247;Biométrico;0,405829456
248;Biométrico;0,516011738
249;Biométrico;1,303737087
250;Biométrico;0,64274014
251;Biométrico;1,379971392
252;Biométrico;0,713331118
253;Biométrico;0,128464828
254;Biométrico;2,585198879
255;Biométrico;2,337570906
256;Biométrico;1,563094205
257;Biométrico;0,535280234
258;Biométrico;1,606322085
259;Biométrico;0,045236179
260;Biométrico;3,863238614
261;Biométrico;1,932403682
262;Biométrico;0,29169656
263;Biométrico;0,224824425
264;Biométrico;1,213607914
265;Biométrico;1,173694009
266;Biométrico;0,902756805
267;Biométrico;3,445391623
268;Biométrico;1,978891283
269;Biométrico;0,215459529
270;Biométrico;0,401829547
271;Biométrico;1,090343332
272;Biométrico;1,118322703
273;Biométrico;0,798782718
274;Biométrico;1,222190959
275;Biométrico;1,009551599
276;Biométrico;1,236668179
277;Biométrico;1,932636845
278;Biométrico;0,952009499
279;Biométrico;1,219797883
280;Biométrico;1,18772374
281;Biométrico;1,389965645
282;Biométrico;0,690681534
283;Biométrico;1,544348696
284;Biométrico;1,167440752
285;Biométrico;2,732307988
286;Biométrico;2,00937088
287;Biométrico;2,26934142
288;Biométrico;3,124772649
289;Biométrico;0,43885816
290;Biométrico;3,201207925
291;Biométrico;0,054507169
292;Biométrico;2,281965394
293;Biométrico;0,246128279
294;Biométrico;0,27470425
295;Biométrico;5,965413977
296;Biométrico;1,305129046
297;Biométrico;0,404124585
298;Biométrico;1,94624473
299;Biométrico;0,083261194
300;Biométrico;1,019057094
301;Biométrico;0,806478489
302;Biométrico;2,157368544
303;Biométrico;1,58941209
304;Biométrico;0,670135865
305;Biométrico;0,888394956
306;Biométrico;0,09720069
307;Biométrico;0,438555724
308;Biométrico;0,954958182
309;Biométrico;0,004785765
310;Biométrico;1,570109637
311;Biométrico;0,115509625
312;Biométrico;0,580716784
313;Biométrico;0,738402521
314;Biométrico;2,090334898
315;Biométrico;0,656645658
316;Biométrico;5,12242331
317;Biométrico;2,618286494
318;Biométrico;0,987091121
319;Biométrico;1,282325235
320;Biométrico;0,367491116
321;Biométrico;0,893245253
322;Biométrico;1,194646166
323;Biométrico;0,806863495
324;Biométrico;1,115396928
325;Biométrico;0,859531141
326;Biométrico;0,668491055
327;Biométrico;0,154162917
328;Biométrico;3,420569377
329;Biométrico;2,393405576
330;Biométrico;1,368691713
331;Biométrico;0,094636001
332;Biométrico;0,02106428
333;Biométrico;2,007620676
334;Biométrico;0,123780188
335;Biométrico;3,382404364
336;Biométrico;2,649505657
337;Biométrico;1,350309305
338;Biométrico;1,876603987
339;Biométrico;0,090485812
340;Biométrico;1,516454428
341;Biométrico;1,176744299
342;Biométrico;0,225269858
343;Biométrico;0,165204267
344;Biométrico;3,991171399
345;Biométrico;0,999922091
346;Biométrico;0,761252701
347;Biométrico;0,033258138
348;Biométrico;3,477591497
349;Biométrico;0,770222362
350;Biométrico;6,194178937
351;Biométrico;5,299153485
352;Biométrico;0,612812692
353;Biométrico;0,12927327
354;Biométrico;2,5858895
355;Biométrico;4,205120872
356;Biométrico;0,085792859
357;Biométrico;0,548553417
358;Biométrico;0,625097088
359;Biométrico;0,370244447
360;Biométrico;0,900287792
361;Biométrico;1,234284602
362;Biométrico;1,672237556
363;Biométrico;0,587748852
364;Biométrico;0,001231209
365;Biométrico;0,572334414
366;Biométrico;0,742394742
367;Biométrico;2,889839124
368;Biométrico;0,454657824
369;Biométrico;2,238256039
370;Biométrico;2,938912355
371;Biométrico;1,658182911
372;Biométrico;1,334185578
373;Biométrico;0,840036946
374;Biométrico;0,00803874
375;Biométrico;1,259858174
376;Biométrico;1,223989635
377;Biométrico;2,543545103
378;Biométrico;1,271957778
379;Biométrico;2,609731544
380;Biométrico;1,623885435
381;Biométrico;3,620517002
382;Biométrico;1,923450769
383;Biométrico;0,011445899
384;Biométrico;0,098238729
385;Biométrico;0,2810871
386;Biométrico;1,061165524
387;Biométrico;0,654392086
388;Biométrico;1,594287056
389;Biométrico;0,110543354
390;Biométrico;0,439347047
391;Biométrico;4,56257337
392;Biométrico;0,388842031
393;Biométrico;1,404985555
394;Biométrico;0,288291364
395;Biométrico;2,789334484
396;Biométrico;1,315474882
397;Biométrico;0,862145461
398;Biométrico;0,613104081
399;Biométrico;0,439856851
400;Biométrico;1,97777812
401;Biométrico;0,218038008
402;Biométrico;0,069534506
403;Biométrico;0,471221262
404;Biométrico;2,614967391
405;Biométrico;0,610915386
406;Biométrico;0,467920218
407;Biométrico;1,742945538
408;Biométrico;0,031446402
409;Biométrico;0,086619842
410;Biométrico;1,839098729
411;Biométrico;1,434665283
412;Biométrico;0,578016763
413;Biométrico;0,512900549
414;Biométrico;0,047014296
415;Biométrico;1,090029812
416;Biométrico;2,249615842
417;Biométrico;0,970628171
418;Biométrico;0,408643176
419;Biométrico;0,458845161
420;Biométrico;0,76655582
421;Biométrico;2,935081258
422;Biométrico;1,197058649
423;Biométrico;1,612482513
424;Biométrico;1,215671063
425;Biométrico;0,660473508
426;Biométrico;0,18799303
427;Biométrico;2,106106393
428;Biométrico;0,864547454
429;Biométrico;0,065042572
430;Biométrico;2,07215214
431;Biométrico;2,356218764
432;Biométrico;3,385100635
433;Biométrico;2,266311522
434;Biométrico;0,367500526
435;Biométrico;0,246246139
436;Biométrico;1,043705939
437;Biométrico;1,550408004
438;Biométrico;5,687599913
439;Biométrico;4,631457059
440;Biométrico;0,737190096
441;Biométrico;2,555060841
442;Biométrico;1,570867005
443;Biométrico;0,910079075
444;Biométrico;4,039730995
445;Biométrico;0,179940612
446;Biométrico;0,930298873
447;Biométrico;0,138016552
448;Biométrico;0,997800614
449;Biométrico;0,20813044
450;Biométrico;0,4683563
451;Biométrico;0,401735005
452;Biométrico;1,694162107
453;Biométrico;0,441686547
454;Biométrico;0,845638331
455;Biométrico;1,83591838
456;Biométrico;1,240421271
457;Biométrico;0,540332558
458;Biométrico;1,253682968
459;Biométrico;0,831527338
460;Biométrico;0,335264783
461;Biométrico;1,285647614
462;Biométrico;0,468380331
463;Biométrico;3,892717115
464;Biométrico;1,798059063
465;Biométrico;0,342154463
466;Biométrico;2,276740448
467;Biométrico;2,701066045
468;Biométrico;0,382023678
469;Biométrico;0,381902326
470;Biométrico;1,737096357
471;Biométrico;0,118551639
472;Biométrico;0,245351886
473;Biométrico;3,690934848
474;Biométrico;0,310118843
475;Biométrico;1,620285851
476;Biométrico;0,295793335
477;Biométrico;4,178720366
478;Biométrico;0,962448818
479;Biométrico;2,413661188
480;Biométrico;0,659233082
481;Biométrico;0,394159478
482;Biométrico;1,638932823
483;Biométrico;1,605013765
484;Biométrico;0,276628792
485;Biométrico;2,664367024
486;Biométrico;1,535002443
487;Biométrico;0,782244299
488;Biométrico;4,653082095
489;Biométrico;2,235808504
490;Biométrico;0,760227516
491;Biométrico;2,805218018
492;Biométrico;0,343543723
493;Biométrico;0,768416859
494;Biométrico;0,366587277
495;Biométrico;1,087241719
496;Biométrico;1,445559031
497;Biométrico;3,304678378
498;Biométrico;0,003911849
499;Biométrico;1,56427757
500;Biométrico;1,115152765
501;Biométrico;0,94222617
502;Biométrico;0,61626822
503;Biométrico;5,133451755
504;Biométrico;1,207536458
505;Biométrico;0,054042309
506;Biométrico;0,706401729
507;Biométrico;1,097977219
508;Biométrico;0,149184262
509;Biométrico;0,693075851
510;Biométrico;2,861125749
511;Biométrico;0,931508454
512;Biométrico;0,163997592
513;Biométrico;2,558767906
514;Biométrico;2,023384624
515;Biométrico;0,868549716
516;Biométrico;2,429842126
517;Biométrico;2,224219365
518;Biométrico;1,442672746
519;Biométrico;0,399675554
520;Biométrico;0,04707468
521;Biométrico;2,600643291
522;Biométrico;2,295086568
523;Biométrico;0,435607614
524;Biométrico;1,317274372
525;Biométrico;3,244561243
526;Biométrico;8,999773753
527;Biométrico;1,316316808
528;Biométrico;0,114446626
529;Biométrico;0,312703157
530;Biométrico;0,477907089
531;Biométrico;6,616945232
532;Biométrico;0,380535077
533;Biométrico;0,979005456
534;Biométrico;0,877668836
535;Biométrico;2,745852458
536;Biométrico;0,813110879
537;Biométrico;1,305277856
538;Biométrico;2,691132853
539;Biométrico;2,913231524
540;Biométrico;0,716557049
541;Biométrico;3,679045009
542;Biométrico;1,251203899
543;Biométrico;1,712154813
544;Biométrico;3,528835689
545;Biométrico;1,397659782
546;Biométrico;0,681580925
547;Biométrico;3,709399535
548;Biométrico;0,028466067
549;Biométrico;0,08867985
550;Biométrico;4,406737592
551;Biométrico;3,277097754
552;Biométrico;0,63547875
553;Biométrico;1,889263223
554;Biométrico;1,843117309
555;Biométrico;1,396552741
556;Biométrico;1,973592118
557;Biométrico;5,633574937
558;Biométrico;0,405980486
559;Biométrico;2,961620183
560;Biométrico;0,318778376
561;Biométrico;0,233794222
562;Biométrico;0,258006244
563;Biométrico;0,043094483
564;Biométrico;0,011300221
565;Biométrico;0,527623676
566;Biométrico;1,719032937
567;Biométrico;0,015918671
568;Biométrico;3,988142152
569;Biométrico;1,279247013
570;Biométrico;1,358125296
571;Biométrico;1,475298562
572;Biométrico;3,484849765
573;Biométrico;0,697675919
574;Biométrico;0,500246248
575;Biométrico;0,369234422
576;Biométrico;0,405283783
577;Biométrico;1,188660327
578;Biométrico;0,284302113
579;Biométrico;0,960435102
580;Biométrico;0,786576413
581;Biométrico;0,211857556
582;Biométrico;1,404276283
583;Biométrico;1,252059303
584;Biométrico;0,96117721
585;Biométrico;0,012187276
586;Biométrico;0,992106899
587;Biométrico;1,935452406
588;Biométrico;2,12098861
589;Biométrico;0,281325732
590;Biométrico;0,31192025
591;Biométrico;1,107084836
592;Biométrico;1,427288757
593;Biométrico;0,039205089
594;Biométrico;0,649995636
595;Biométrico;2,411823943
596;Biométrico;0,322566619
597;Biométrico;1,003172901
598;Biométrico;0,15845023
599;Biométrico;1,24072391
600;Biométrico;0,042846228
601;Biométrico;0,42585916
602;Biométrico;8,10496008
603;Biométrico;2,507181065
604;Biométrico;0,279134764
605;Biométrico;7,696249012
606;Biométrico;0,437317395
607;Biométrico;0,195685806
608;Biométrico;1,620924455
609;Biométrico;2,24690108
610;Biométrico;2,815489569
611;Biométrico;0,618197343
612;Biométrico;1,147366875
613;Biométrico;1,522435493
614;Biométrico;0,458092656
615;Biométrico;2,308663485
616;Biométrico;1,448052561
617;Biométrico;0,917813209
618;Biométrico;0,530810468
619;Biométrico;5,415189377
620;Biométrico;3,844902082
621;Biométrico;1,078792824
622;Biométrico;0,04334333
623;Biométrico;1,748551522
624;Biométrico;0,026472564
625;Biométrico;1,488518644
626;Biométrico;2,244543037
627;Biométrico;1,18295114
628;Biométrico;2,551678244
629;Biométrico;2,026165058
630;Biométrico;0,996778027
631;Biométrico;0,146532204
632;Biométrico;1,132759309
633;Biométrico;2,298099226
634;Biométrico;1,083254726
635;Biométrico;0,564641015
636;Biométrico;1,661148423
637;Biométrico;1,669686146
638;Biométrico;0,2534936
639;Biométrico;0,013333491
640;Biométrico;2,007502467
641;Biométrico;0,870162158
642;Biométrico;1,335598418
643;Biométrico;2,853019218
644;Biométrico;0,392371292
645;Biométrico;4,361741421
646;Biométrico;2,882830975
647;Biométrico;0,178691682
648;Biométrico;1,036331617
649;Biométrico;0,293672055
650;Biométrico;6,15138752
651;Biométrico;0,246903594
652;Biométrico;0,35097172
653;Biométrico;0,270819733
654;Biométrico;0,714514494
655;Biométrico;4,449190505
656;Biométrico;1,671800616
657;Biométrico;0,797354209
658;Biométrico;0,927637357
659;Biométrico;0,426313915
660;Biométrico;0,620926314
661;Biométrico;0,794811006
662;Biométrico;0,553172663
663;Biométrico;1,15291263
664;Biométrico;0,267815064
665;Biométrico;0,138925969
666;Biométrico;0,251849697
667;Biométrico;1,232176589
668;Biométrico;1,831981124
669;Biométrico;3,39903328
670;Biométrico;0,291304824
671;Biométrico;2,133832406
672;Biométrico;0,793928818
673;Biométrico;2,143994129
674;Biométrico;0,920468203
675;Biométrico;1,663837478
676;Biométrico;0,563165703
677;Biométrico;0,340958471
678;Biométrico;1,60887132
679;Biométrico;0,117698844
680;Biométrico;0,983379922
681;Biométrico;3,660354498
682;Biométrico;1,166135605
683;Biométrico;0,56604589
684;Biométrico;1,37297375
685;Biométrico;3,24728631
686;Biométrico;0,473567231
687;Biométrico;4,602327359
688;Biométrico;1,810483401
689;Biométrico;0,377862021
690;Biométrico;0,006988422
691;Biométrico;0,627646284
692;Biométrico;0,800080463
693;Biométrico;1,908852941
694;Biométrico;1,396984109
695;Biométrico;1,078291919
696;Biométrico;0,744117095
697;Biométrico;1,148067275
698;Biométrico;0,602378454
699;Biométrico;1,783139118
700;Biométrico;4,423506224
701;Biométrico;0,359201493
702;Biométrico;0,695550356
703;Biométrico;2,260077003
704;Biométrico;8,49123121
705;Biométrico;2,515637721
706;Biométrico;4,210633733
707;Biométrico;3,492371382
708;Biométrico;0,279290064
709;Biométrico;0,600146792
710;Biométrico;0,977486909
711;Biométrico;0,363222216
712;Biométrico;2,347153665
713;Biométrico;0,403040662
714;Biométrico;0,267026535
715;Biométrico;0,239991293
716;Biométrico;2,02301143
717;Biométrico;1,108911766
718;Biométrico;0,101394116
719;Biométrico;0,13366677
720;Biométrico;0,283361205
721;Biométrico;1,097868206
722;Biométrico;3,318599595
723;Biométrico;1,024812212
724;Biométrico;0,594545778
725;Biométrico;0,027767605
726;Biométrico;1,016333893
727;Biométrico;0,523871934
728;Biométrico;0,996583342
729;Biométrico;0,002925823
730;Biométrico;1,794983245
731;Biométrico;0,905625506
732;Biométrico;0,637083394
733;Biométrico;0,499731064
734;Biométrico;0,685954702
735;Biométrico;0,992082654
736;Biométrico;3,137857684
737;Biométrico;0,446098349
738;Biométrico;1,604358093
739;Biométrico;0,053031921
740;Biométrico;2,196972207
741;Biométrico;0,596892585
742;Biométrico;0,434530006
743;Biométrico;0,86707141
744;Biométrico;0,025384317
745;Biométrico;0,917278905
746;Biométrico;0,85482712
747;Biométrico;0,696843983
748;Biométrico;0,539712916
749;Biométrico;0,138876128
750;Biométrico;1,586181126
751;Biométrico;3,41772073
752;Biométrico;1,878856116
753;Biométrico;0,044920528
754;Biométrico;6,0268537
755;Biométrico;0,514369078
756;Biométrico;0,925242337
757;Biométrico;3,18660896
758;Biométrico;2,343593047
759;Biométrico;1,722615963
760;Biométrico;0,146501822
761;Biométrico;0,804254157
762;Biométrico;3,035868412
763;Biométrico;0,916301834
764;Biométrico;0,386095444
765;Biométrico;4,168724675
766;Biométrico;1,630854956
767;Biométrico;1,424052621
768;Biométrico;1,086929186
769;Biométrico;0,698840711
770;Biométrico;1,536594416
771;Biométrico;0,480790515
772;Biométrico;0,808447315
773;Biométrico;0,141416237
774;Biométrico;0,731431819
775;Biométrico;1,784102645
776;Biométrico;1,84859696
777;Biométrico;0,831466901
778;Biométrico;1,057979966
779;Biométrico;0,721931244
780;Biométrico;0,945801681
781;Biométrico;0,146792794
782;Biométrico;0,307742602
783;Biométrico;9,171285864
784;Biométrico;0,949122449
785;Biométrico;0,086811217
786;Biométrico;1,64724942
787;Biométrico;0,487345795
788;Biométrico;0,398715617
789;Biométrico;2,143394524
790;Biométrico;0,59826567
791;Biométrico;0,183857598
792;Biométrico;0,552873172
793;Biométrico;0,343354557
794;Biométrico;1,215730224
795;Biométrico;1,648707802
796;Biométrico;0,317676352
797;Biométrico;0,116392678
798;Biométrico;0,228073075
799;Biométrico;0,288636216
800;Biométrico;3,399030494
801;Biométrico;1,763247683
802;Biométrico;2,935096944
803;Biométrico;0,691692674
804;Biométrico;2,733606427
805;Biométrico;0,561914657
806;Biométrico;1,654062019
807;Biométrico;0,400059489
808;Biométrico;1,738583313
809;Biométrico;0,874473221
810;Biométrico;0,01855644
811;Biométrico;1,298449581
812;Biométrico;3,021210947
813;Biométrico;1,237605733
814;Biométrico;0,944186869
815;Biométrico;0,026737822
816;Biométrico;1,740260191
817;Biométrico;4,112124865
818;Biométrico;3,374842013
819;Biométrico;0,675102763
820;Biométrico;1,247656338
821;Biométrico;0,276797281
822;Biométrico;0,490337524
823;Biométrico;2,273318389
824;Biométrico;1,445352165
825;Biométrico;0,659784341
826;Biométrico;0,266429393
827;Biométrico;1,629811962
828;Biométrico;1,380796149
829;Biométrico;0,306111527
830;Biométrico;0,747334278
831;Biométrico;3,878648795
832;Biométrico;0,156350362
833;Biométrico;2,246845039
834;Biométrico;0,69552404
835;Biométrico;1,611921515
836;Biométrico;0,788893691
837;Biométrico;1,769488993
838;Biométrico;0,738798545
839;Biométrico;1,601520216
840;Biométrico;2,288247076
841;Biométrico;0,017283359
842;Biométrico;0,840483251
843;Biométrico;1,191474641
844;Biométrico;3,164652341
845;Biométrico;1,247863945
846;Biométrico;0,411503553
847;Biométrico;0,35405761
848;Biométrico;0,133460832
849;Biométrico;0,504996594
850;Biométrico;0,615016194
851;Biométrico;4,034029681
852;Biométrico;0,925821237
853;Biométrico;0,766809038
854;Biométrico;0,690578957
855;Biométrico;0,362526127
856;Biométrico;1,155844255
857;Biométrico;0,155457998
858;Biométrico;1,34180468
859;Biométrico;2,092963323
860;Biométrico;0,248847784
861;Biométrico;2,664030015
862;Biométrico;1,686415397
863;Biométrico;3,366265666
864;Biométrico;0,087603627
865;Biométrico;0,610170708
866;Biométrico;0,882594515
867;Biométrico;0,328775147
868;Biométrico;0,050637559
869;Biométrico;2,248552382
870;Biométrico;2,967593603
871;Biométrico;0,435623744
872;Biométrico;0,919382641
873;Biométrico;0,124659221
874;Biométrico;3,849517008
875;Biométrico;2,312090792
876;Biométrico;0,262949826
877;Biométrico;3,265671705
878;Biométrico;3,313785985
879;Biométrico;1,449945859
880;Biométrico;1,836317675
881;Biométrico;2,671299822
882;Biométrico;0,256117673
883;Biométrico;0,771188389
884;Biométrico;0,087755112
885;Biométrico;0,480757825
886;Biométrico;0,963207474
887;Biométrico;1,388328026
888;Biométrico;1,305236739
889;Biométrico;1,793151337
890;Biométrico;4,370461885
891;Biométrico;1,343003157
892;Biométrico;1,906031429
893;Biométrico;0,354869965
894;Biométrico;1,068495904
895;Biométrico;1,64935442
896;Biométrico;0,69712773
897;Biométrico;0,577490528
898;Biométrico;3,862809063
899;Biométrico;1,572674372
900;Biométrico;1,315416616
901;Biométrico;4,528559535
902;Biométrico;3,476236261
903;Biométrico;0,313681106
904;Biométrico;1,068485234
905;Biométrico;1,133977321
906;Biométrico;1,515932544
907;Biométrico;1,562601546
908;Biométrico;3,018345001
909;Biométrico;0,524966446
910;Biométrico;0,339451819
911;Biométrico;2,701772374
912;Biométrico;3,561497228
913;Biométrico;1,346153164
914;Biométrico;0,117963202
915;Biométrico;0,53629213
916;Biométrico;1,885595406
917;Biométrico;0,179522556
918;Biométrico;0,798664989
919;Biométrico;2,672864774
920;Biométrico;1,504533237
921;Biométrico;1,154219104
922;Biométrico;3,022873995
923;Biométrico;0,946568152
924;Biométrico;0,157057862
925;Biométrico;1,008498451
926;Biométrico;1,561732692
927;Biométrico;2,703895562
928;Biométrico;0,932233523
929;Biométrico;2,779295676
930;Biométrico;0,806069009
931;Biométrico;0,447614448
932;Biométrico;1,284362084
933;Biométrico;0,253631356
934;Biométrico;0,741378112
935;Biométrico;0,33268855
936;Biométrico;1,409479793
937;Biométrico;0,789928563
938;Biométrico;1,545725286
939;Biométrico;0,010689718
940;Biométrico;0,115423856
941;Biométrico;0,576368104
942;Biométrico;1,134261103
943;Biométrico;1,210413529
944;Biométrico;0,39875458
945;Biométrico;2,061761328
946;Biométrico;0,179874369
947;Biométrico;2,70742676
948;Biométrico;2,81836383
949;Biométrico;1,132232587
950;Biométrico;1,814059408
951;Biométrico;0,395715602
952;Biométrico;1,276136902
953;Biométrico;0,319378893
954;Biométrico;1,186832057
955;Biométrico;1,879690266
956;Biométrico;1,553813376
957;Biométrico;1,793150332
958;Biométrico;1,938648176
959;Biométrico;0,682000059
960;Biométrico;0,34840405
961;Biométrico;0,465904747
962;Biométrico;0,841997116
963;Biométrico;0,041761959
964;Biométrico;4,608597794
965;Biométrico;3,910047574
966;Biométrico;0,592995708
967;Biométrico;2,506347277
968;Biométrico;5,631472731
969;Biométrico;5,357478828
970;Biométrico;0,604373894
971;Biométrico;0,235866551
972;Biométrico;0,588520776
973;Biométrico;0,92259466
974;Biométrico;0,442153959
975;Biométrico;3,931656413
976;Biométrico;1,128154854
977;Biométrico;1,722390497
978;Biométrico;3,085584302
979;Biométrico;0,141930506
980;Biométrico;0,437717159
981;Biométrico;0,38173027
982;Biométrico;0,92239137
983;Biométrico;0,628668126
984;Biométrico;2,632246807
985;Biométrico;0,488802174
986;Biométrico;0,247786698
987;Biométrico;1,072287223
988;Biométrico;0,598431588
989;Biométrico;2,565778989
990;Biométrico;2,45010547
991;Biométrico;4,260624443
992;Biométrico;3,534337133
993;Biométrico;0,011469144
994;Biométrico;0,198473144
995;Biométrico;0,516955923
