Fecha de Llegada;Tipo de Avi—n
1/05/2023 9:53;Peque–o
1/05/2023 9:54;Mediano
1/05/2023 9:58;Mediano
1/05/2023 10:01;Mediano
1/05/2023 10:04;Mediano
1/05/2023 10:06;Grande
1/05/2023 10:06;Mediano
1/05/2023 10:07;Mediano
1/05/2023 10:09;Mediano
1/05/2023 10:11;Mediano
1/05/2023 10:13;Peque–o
1/05/2023 10:23;Mediano
1/05/2023 10:32;Grande
1/05/2023 10:44;Mediano
1/05/2023 10:46;Grande
1/05/2023 10:48;Grande
1/05/2023 11:01;Grande
1/05/2023 11:04;Mediano
1/05/2023 11:09;Grande
1/05/2023 11:12;Mediano
1/05/2023 11:15;Mediano
1/05/2023 11:19;Mediano
1/05/2023 11:23;Mediano
1/05/2023 11:26;Mediano
1/05/2023 11:30;Grande
1/05/2023 11:33;Mediano
1/05/2023 11:37;Mediano
1/05/2023 11:41;Mediano
1/05/2023 11:45;Mediano
1/05/2023 11:48;Mediano
1/05/2023 11:52;Grande
1/05/2023 11:56;Mediano
1/05/2023 12:00;Peque–o
1/05/2023 12:03;Grande
1/05/2023 12:07;Mediano
1/05/2023 12:11;Grande
1/05/2023 12:15;Grande
1/05/2023 12:18;Mediano
1/05/2023 12:21;Mediano
1/05/2023 12:24;Grande
1/05/2023 12:27;Mediano
1/05/2023 12:31;Grande
1/05/2023 12:35;Grande
1/05/2023 12:39;Mediano
1/05/2023 12:42;Mediano
1/05/2023 12:46;Mediano
1/05/2023 12:49;Mediano
1/05/2023 12:52;Mediano
1/05/2023 12:56;Grande
1/05/2023 13:00;Mediano
1/05/2023 13:03;Grande
1/05/2023 13:07;Mediano
1/05/2023 13:11;Mediano
1/05/2023 13:14;Mediano
1/05/2023 13:17;Mediano
1/05/2023 13:21;Mediano
1/05/2023 13:24;Grande
1/05/2023 13:27;Mediano
1/05/2023 13:31;Mediano
1/05/2023 13:35;Mediano
1/05/2023 13:38;Grande
1/05/2023 13:42;Mediano
1/05/2023 13:46;Mediano
1/05/2023 13:49;Mediano
1/05/2023 13:53;Mediano
1/05/2023 13:56;Mediano
1/05/2023 13:59;Mediano
1/05/2023 14:02;Grande
1/05/2023 14:06;Grande
1/05/2023 14:09;Grande
1/05/2023 14:12;Grande
1/05/2023 14:16;Grande
1/05/2023 14:19;Peque–o
1/05/2023 14:22;Mediano
1/05/2023 14:26;Mediano
1/05/2023 14:30;Grande
1/05/2023 14:33;Grande
1/05/2023 14:37;Mediano
1/05/2023 14:40;Mediano
1/05/2023 14:44;Grande
1/05/2023 14:47;Mediano
1/05/2023 14:50;Mediano
1/05/2023 14:54;Mediano
1/05/2023 14:57;Mediano
1/05/2023 15:01;Grande
1/05/2023 15:05;Grande
1/05/2023 15:06;Mediano
1/05/2023 15:11;Grande
1/05/2023 15:29;Mediano
1/05/2023 15:36;Mediano
1/05/2023 15:45;Grande
1/05/2023 15:56;Grande
1/05/2023 16:14;Mediano
1/05/2023 16:18;Mediano
1/05/2023 16:18;Grande
1/05/2023 16:31;Mediano
1/05/2023 16:32;Mediano
1/05/2023 16:40;Mediano
1/05/2023 16:47;Mediano
1/05/2023 16:52;Mediano
1/05/2023 16:56;Mediano
1/05/2023 16:57;Mediano
1/05/2023 17:07;Mediano
1/05/2023 17:17;Mediano
1/05/2023 17:19;Mediano
1/05/2023 17:20;Grande
1/05/2023 17:41;Mediano
1/05/2023 17:44;Peque–o
1/05/2023 17:45;Peque–o
1/05/2023 17:50;Mediano
1/05/2023 17:55;Mediano
1/05/2023 17:57;Grande
1/05/2023 18:00;Mediano
1/05/2023 18:02;Peque–o
1/05/2023 18:20;Mediano
1/05/2023 18:20;Grande
1/05/2023 18:22;Grande
1/05/2023 18:25;Mediano
1/05/2023 18:27;Grande
1/05/2023 18:28;Mediano
1/05/2023 18:28;Mediano
1/05/2023 18:31;Mediano
1/05/2023 18:43;Peque–o
1/05/2023 19:04;Grande
1/05/2023 19:21;Mediano
1/05/2023 19:21;Mediano
1/05/2023 19:23;Mediano
1/05/2023 19:25;Mediano
1/05/2023 19:32;Grande
1/05/2023 19:34;Grande
1/05/2023 19:51;Peque–o
1/05/2023 20:01;Grande
1/05/2023 20:04;Grande
1/05/2023 20:22;Grande
1/05/2023 20:23;Mediano
1/05/2023 20:24;Mediano
1/05/2023 20:37;Grande
1/05/2023 20:46;Mediano
1/05/2023 20:56;Grande
1/05/2023 20:57;Grande
1/05/2023 21:06;Mediano
1/05/2023 21:16;Mediano
1/05/2023 21:25;Peque–o
1/05/2023 21:34;Mediano
1/05/2023 21:42;Mediano
1/05/2023 21:57;Mediano
1/05/2023 22:09;Mediano
1/05/2023 22:21;Mediano
1/05/2023 22:32;Mediano
1/05/2023 22:42;Mediano
1/05/2023 22:52;Peque–o
1/05/2023 23:00;Mediano
1/05/2023 23:10;Peque–o
1/05/2023 23:20;Mediano
1/05/2023 23:34;Mediano
1/05/2023 23:48;Grande
1/05/2023 23:57;Grande
2/05/2023 0:11;Grande
2/05/2023 0:25;Mediano
2/05/2023 0:38;Mediano
2/05/2023 0:46;Mediano
2/05/2023 0:57;Mediano
2/05/2023 1:07;Grande
2/05/2023 1:21;Mediano
2/05/2023 1:34;Mediano
2/05/2023 1:42;Mediano
2/05/2023 1:52;Peque–o
2/05/2023 2:01;Grande
2/05/2023 2:08;Mediano
2/05/2023 2:17;Mediano
2/05/2023 2:32;Grande
2/05/2023 2:45;Mediano
2/05/2023 2:53;Grande
2/05/2023 3:05;Mediano
2/05/2023 3:15;Mediano
2/05/2023 3:29;Grande
2/05/2023 3:41;Peque–o
2/05/2023 3:52;Mediano
2/05/2023 4:00;Mediano
2/05/2023 4:09;Grande
2/05/2023 4:23;Grande
2/05/2023 4:31;Mediano
2/05/2023 4:42;Mediano
2/05/2023 4:55;Mediano
2/05/2023 5:05;Mediano
2/05/2023 5:18;Mediano
2/05/2023 5:31;Mediano
2/05/2023 5:40;Grande
2/05/2023 5:53;Mediano
2/05/2023 6:05;Mediano
2/05/2023 6:10;Grande
2/05/2023 6:20;Mediano
2/05/2023 6:31;Grande
2/05/2023 6:33;Grande
2/05/2023 6:34;Grande
2/05/2023 6:34;Mediano
2/05/2023 6:39;Peque–o
2/05/2023 6:41;Peque–o
2/05/2023 6:44;Mediano
2/05/2023 6:49;Grande
2/05/2023 6:49;Grande
2/05/2023 6:50;Mediano
2/05/2023 6:51;Mediano
2/05/2023 6:56;Mediano
2/05/2023 7:00;Mediano
2/05/2023 7:08;Grande
2/05/2023 7:10;Grande
2/05/2023 7:23;Mediano
2/05/2023 7:25;Mediano
2/05/2023 7:26;Mediano
2/05/2023 7:31;Mediano
2/05/2023 7:38;Peque–o
2/05/2023 7:40;Grande
2/05/2023 7:41;Mediano
2/05/2023 8:09;Mediano
2/05/2023 8:11;Mediano
2/05/2023 8:20;Grande
2/05/2023 8:21;Mediano
2/05/2023 8:24;Mediano
2/05/2023 8:33;Grande
2/05/2023 8:37;Mediano
2/05/2023 8:41;Mediano
2/05/2023 8:53;Grande
2/05/2023 8:56;Mediano
2/05/2023 8:56;Mediano
2/05/2023 9:03;Mediano
2/05/2023 9:07;Grande
2/05/2023 9:23;Mediano
2/05/2023 9:24;Mediano
2/05/2023 9:35;Mediano
2/05/2023 9:39;Grande
2/05/2023 9:42;Mediano
2/05/2023 9:44;Peque–o
2/05/2023 9:56;Mediano
2/05/2023 10:03;Mediano
2/05/2023 10:08;Grande
2/05/2023 10:10;Mediano
2/05/2023 10:22;Mediano
2/05/2023 10:28;Grande
2/05/2023 10:34;Mediano
2/05/2023 10:48;Peque–o
2/05/2023 10:54;Mediano
2/05/2023 10:59;Mediano
2/05/2023 11:05;Grande
2/05/2023 11:09;Mediano
2/05/2023 11:12;Mediano
2/05/2023 11:16;Grande
2/05/2023 11:19;Mediano
2/05/2023 11:23;Peque–o
2/05/2023 11:27;Peque–o
2/05/2023 11:30;Grande
2/05/2023 11:33;Mediano
2/05/2023 11:37;Mediano
2/05/2023 11:41;Grande
2/05/2023 11:44;Mediano
2/05/2023 11:48;Grande
2/05/2023 11:51;Mediano
2/05/2023 11:54;Mediano
2/05/2023 11:58;Mediano
2/05/2023 12:01;Mediano
2/05/2023 12:05;Grande
2/05/2023 12:09;Peque–o
2/05/2023 12:13;Peque–o
2/05/2023 12:17;Mediano
2/05/2023 12:21;Grande
2/05/2023 12:25;Mediano
2/05/2023 12:28;Mediano
2/05/2023 12:32;Mediano
2/05/2023 12:36;Mediano
2/05/2023 12:41;Mediano
2/05/2023 12:45;Mediano
2/05/2023 12:48;Mediano
2/05/2023 12:51;Grande
2/05/2023 12:55;Grande
2/05/2023 12:59;Grande
2/05/2023 13:02;Mediano
2/05/2023 13:06;Mediano
2/05/2023 13:10;Mediano
2/05/2023 13:14;Mediano
2/05/2023 13:18;Mediano
2/05/2023 13:21;Grande
2/05/2023 13:25;Mediano
2/05/2023 13:29;Mediano
2/05/2023 13:32;Mediano
2/05/2023 13:36;Mediano
2/05/2023 13:39;Grande
2/05/2023 13:43;Mediano
2/05/2023 13:47;Grande
2/05/2023 13:51;Mediano
2/05/2023 13:54;Grande
2/05/2023 13:58;Mediano
2/05/2023 14:02;Mediano
2/05/2023 14:06;Grande
2/05/2023 14:10;Mediano
2/05/2023 14:14;Mediano
2/05/2023 14:18;Mediano
2/05/2023 14:22;Grande
2/05/2023 14:25;Mediano
2/05/2023 14:28;Peque–o
2/05/2023 14:32;Grande
2/05/2023 14:35;Mediano
2/05/2023 14:39;Mediano
2/05/2023 14:43;Mediano
2/05/2023 14:46;Mediano
2/05/2023 14:50;Mediano
2/05/2023 14:53;Mediano
2/05/2023 14:57;Peque–o
2/05/2023 15:01;Grande
2/05/2023 15:08;Peque–o
2/05/2023 15:17;Peque–o
2/05/2023 15:18;Mediano
2/05/2023 15:19;Grande
2/05/2023 15:25;Peque–o
2/05/2023 15:28;Mediano
2/05/2023 15:39;Peque–o
2/05/2023 15:42;Grande
2/05/2023 15:46;Peque–o
2/05/2023 15:53;Peque–o
2/05/2023 16:06;Grande
2/05/2023 16:09;Mediano
2/05/2023 16:12;Grande
2/05/2023 16:15;Grande
2/05/2023 16:18;Mediano
2/05/2023 16:23;Peque–o
2/05/2023 16:28;Grande
2/05/2023 16:52;Grande
2/05/2023 16:52;Mediano
2/05/2023 16:55;Mediano
2/05/2023 17:11;Peque–o
2/05/2023 17:16;Mediano
2/05/2023 17:20;Mediano
2/05/2023 17:23;Mediano
2/05/2023 17:31;Mediano
2/05/2023 17:33;Grande
2/05/2023 17:43;Mediano
2/05/2023 17:57;Mediano
2/05/2023 18:02;Mediano
2/05/2023 18:18;Mediano
2/05/2023 18:19;Peque–o
2/05/2023 18:23;Mediano
2/05/2023 18:27;Grande
2/05/2023 18:43;Mediano
2/05/2023 18:44;Grande
2/05/2023 18:44;Grande
2/05/2023 18:54;Grande
2/05/2023 18:58;Mediano
2/05/2023 19:07;Grande
2/05/2023 19:07;Mediano
2/05/2023 19:13;Mediano
2/05/2023 19:22;Mediano
2/05/2023 19:45;Mediano
2/05/2023 20:04;Mediano
2/05/2023 20:07;Grande
2/05/2023 20:14;Mediano
2/05/2023 20:15;Mediano
2/05/2023 20:18;Mediano
2/05/2023 20:27;Mediano
2/05/2023 20:27;Mediano
2/05/2023 20:34;Grande
2/05/2023 20:38;Mediano
2/05/2023 20:41;Peque–o
2/05/2023 20:45;Grande
2/05/2023 21:03;Mediano
2/05/2023 21:16;Grande
2/05/2023 21:27;Grande
2/05/2023 21:39;Mediano
2/05/2023 21:47;Mediano
2/05/2023 21:55;Grande
2/05/2023 22:09;Mediano
2/05/2023 22:19;Grande
2/05/2023 22:28;Grande
2/05/2023 22:41;Mediano
2/05/2023 22:53;Mediano
2/05/2023 23:01;Mediano
2/05/2023 23:11;Mediano
2/05/2023 23:20;Mediano
2/05/2023 23:32;Grande
2/05/2023 23:44;Mediano
2/05/2023 23:52;Grande
3/05/2023 0:06;Mediano
3/05/2023 0:19;Mediano
3/05/2023 0:34;Mediano
3/05/2023 0:47;Mediano
3/05/2023 0:57;Mediano
3/05/2023 1:12;Grande
3/05/2023 1:20;Mediano
3/05/2023 1:33;Mediano
3/05/2023 1:43;Mediano
3/05/2023 1:52;Grande
3/05/2023 2:07;Mediano
3/05/2023 2:20;Mediano
3/05/2023 2:31;Mediano
3/05/2023 2:45;Mediano
3/05/2023 2:58;Mediano
3/05/2023 3:09;Mediano
3/05/2023 3:18;Grande
3/05/2023 3:30;Grande
3/05/2023 3:42;Grande
3/05/2023 3:56;Grande
3/05/2023 4:04;Grande
3/05/2023 4:17;Peque–o
3/05/2023 4:30;Mediano
3/05/2023 4:45;Mediano
3/05/2023 4:58;Grande
3/05/2023 5:08;Grande
3/05/2023 5:21;Mediano
3/05/2023 5:30;Mediano
3/05/2023 5:44;Grande
3/05/2023 5:51;Mediano
3/05/2023 6:05;Mediano
3/05/2023 6:18;Mediano
3/05/2023 6:39;Mediano
3/05/2023 6:40;Grande
3/05/2023 7:04;Grande
3/05/2023 7:23;Mediano
3/05/2023 7:31;Grande
3/05/2023 7:32;Mediano
3/05/2023 7:32;Mediano
3/05/2023 7:33;Grande
3/05/2023 7:37;Grande
3/05/2023 7:43;Mediano
3/05/2023 7:52;Mediano
3/05/2023 7:54;Grande
3/05/2023 8:00;Mediano
3/05/2023 8:08;Mediano
3/05/2023 8:10;Mediano
3/05/2023 8:21;Mediano
3/05/2023 8:25;Mediano
3/05/2023 8:26;Mediano
3/05/2023 8:26;Mediano
3/05/2023 8:30;Mediano
3/05/2023 8:34;Mediano
3/05/2023 8:36;Mediano
3/05/2023 8:41;Grande
3/05/2023 8:42;Mediano
3/05/2023 9:16;Peque–o
3/05/2023 9:22;Peque–o
3/05/2023 9:25;Mediano
3/05/2023 9:42;Mediano
3/05/2023 9:45;Grande
3/05/2023 10:04;Mediano
3/05/2023 10:09;Peque–o
3/05/2023 10:11;Mediano
3/05/2023 10:15;Grande
3/05/2023 10:24;Grande
3/05/2023 10:25;Mediano
3/05/2023 10:40;Grande
3/05/2023 10:47;Mediano
3/05/2023 10:51;Mediano
3/05/2023 10:54;Mediano
3/05/2023 11:17;Peque–o
3/05/2023 11:20;Grande
3/05/2023 11:24;Mediano
3/05/2023 11:27;Mediano
3/05/2023 11:31;Mediano
3/05/2023 11:35;Mediano
3/05/2023 11:39;Grande
3/05/2023 11:43;Grande
3/05/2023 11:47;Peque–o
3/05/2023 11:51;Grande
3/05/2023 11:54;Grande
3/05/2023 11:57;Grande
3/05/2023 12:01;Mediano
3/05/2023 12:05;Mediano
3/05/2023 12:09;Grande
3/05/2023 12:13;Mediano
3/05/2023 12:17;Grande
3/05/2023 12:21;Grande
3/05/2023 12:24;Mediano
3/05/2023 12:27;Mediano
3/05/2023 12:31;Peque–o
3/05/2023 12:35;Mediano
3/05/2023 12:38;Mediano
3/05/2023 12:41;Mediano
3/05/2023 12:45;Mediano
3/05/2023 12:48;Mediano
3/05/2023 12:52;Mediano
3/05/2023 12:56;Mediano
3/05/2023 12:59;Peque–o
3/05/2023 13:04;Mediano
3/05/2023 13:07;Peque–o
3/05/2023 13:12;Mediano
3/05/2023 13:15;Mediano
3/05/2023 13:19;Grande
3/05/2023 13:23;Grande
3/05/2023 13:26;Grande
3/05/2023 13:30;Mediano
3/05/2023 13:34;Mediano
3/05/2023 13:37;Mediano
3/05/2023 13:42;Mediano
3/05/2023 13:46;Grande
3/05/2023 13:50;Mediano
3/05/2023 13:54;Mediano
3/05/2023 13:57;Mediano
3/05/2023 14:01;Peque–o
3/05/2023 14:05;Grande
3/05/2023 14:08;Mediano
3/05/2023 14:12;Mediano
3/05/2023 14:16;Grande
3/05/2023 14:20;Mediano
3/05/2023 14:23;Grande
3/05/2023 14:27;Mediano
3/05/2023 14:31;Mediano
3/05/2023 14:35;Grande
3/05/2023 14:39;Peque–o
3/05/2023 14:43;Mediano
3/05/2023 14:47;Mediano
3/05/2023 14:50;Grande
3/05/2023 14:54;Grande
3/05/2023 14:57;Mediano
3/05/2023 15:01;Mediano
3/05/2023 15:07;Mediano
3/05/2023 15:11;Mediano
3/05/2023 15:27;Mediano
3/05/2023 15:32;Mediano
3/05/2023 15:34;Grande
3/05/2023 15:36;Mediano
3/05/2023 15:37;Mediano
3/05/2023 15:39;Grande
3/05/2023 15:40;Mediano
3/05/2023 15:47;Grande
3/05/2023 15:51;Grande
3/05/2023 15:52;Grande
3/05/2023 16:01;Mediano
3/05/2023 16:02;Peque–o
3/05/2023 16:09;Peque–o
3/05/2023 16:18;Mediano
3/05/2023 16:27;Grande
3/05/2023 16:31;Grande
3/05/2023 16:34;Mediano
3/05/2023 16:52;Mediano
3/05/2023 16:53;Mediano
3/05/2023 16:54;Mediano
3/05/2023 17:06;Grande
3/05/2023 17:08;Grande
3/05/2023 17:21;Mediano
3/05/2023 17:23;Mediano
3/05/2023 17:31;Mediano
3/05/2023 17:41;Mediano
3/05/2023 17:47;Peque–o
3/05/2023 17:54;Grande
3/05/2023 18:04;Mediano
3/05/2023 18:05;Mediano
3/05/2023 18:23;Mediano
3/05/2023 18:28;Grande
3/05/2023 18:43;Mediano
3/05/2023 18:48;Mediano
3/05/2023 18:51;Grande
3/05/2023 18:55;Mediano
3/05/2023 18:56;Mediano
3/05/2023 19:15;Grande
3/05/2023 19:51;Mediano
3/05/2023 19:55;Mediano
3/05/2023 19:57;Mediano
3/05/2023 20:23;Grande
3/05/2023 20:24;Mediano
3/05/2023 20:26;Mediano
3/05/2023 20:34;Mediano
3/05/2023 20:35;Grande
3/05/2023 20:48;Mediano
3/05/2023 20:51;Peque–o
3/05/2023 20:57;Mediano
3/05/2023 21:03;Mediano
3/05/2023 21:15;Grande
3/05/2023 21:27;Mediano
3/05/2023 21:35;Mediano
3/05/2023 21:42;Grande
3/05/2023 21:54;Mediano
3/05/2023 22:07;Peque–o
3/05/2023 22:16;Mediano
3/05/2023 22:26;Mediano
3/05/2023 22:34;Grande
3/05/2023 22:46;Mediano
3/05/2023 22:55;Mediano
3/05/2023 23:07;Grande
3/05/2023 23:21;Mediano
3/05/2023 23:36;Peque–o
3/05/2023 23:43;Peque–o
3/05/2023 23:57;Grande
4/05/2023 0:11;Mediano
4/05/2023 0:24;Mediano
4/05/2023 0:36;Grande
4/05/2023 0:49;Mediano
4/05/2023 1:01;Grande
4/05/2023 1:12;Mediano
4/05/2023 1:21;Mediano
4/05/2023 1:35;Mediano
4/05/2023 1:50;Mediano
4/05/2023 2:02;Grande
4/05/2023 2:15;Peque–o
4/05/2023 2:24;Peque–o
4/05/2023 2:34;Mediano
4/05/2023 2:46;Grande
4/05/2023 3:00;Mediano
4/05/2023 3:12;Mediano
4/05/2023 3:23;Mediano
4/05/2023 3:38;Mediano
4/05/2023 3:53;Mediano
4/05/2023 4:06;Mediano
4/05/2023 4:17;Mediano
4/05/2023 4:25;Grande
4/05/2023 4:34;Grande
4/05/2023 4:48;Grande
4/05/2023 4:55;Mediano
4/05/2023 5:02;Mediano
4/05/2023 5:15;Mediano
4/05/2023 5:29;Mediano
4/05/2023 5:37;Mediano
4/05/2023 5:44;Grande
4/05/2023 5:59;Mediano
4/05/2023 6:12;Mediano
4/05/2023 6:13;Mediano
4/05/2023 6:22;Mediano
4/05/2023 6:25;Grande
4/05/2023 6:34;Mediano
4/05/2023 6:35;Grande
4/05/2023 6:41;Mediano
4/05/2023 6:43;Grande
4/05/2023 6:50;Mediano
4/05/2023 6:59;Mediano
4/05/2023 7:10;Grande
4/05/2023 7:12;Mediano
4/05/2023 7:19;Mediano
4/05/2023 7:19;Mediano
4/05/2023 7:21;Grande
4/05/2023 7:31;Mediano
4/05/2023 7:43;Peque–o
4/05/2023 7:53;Grande
4/05/2023 8:02;Mediano
4/05/2023 8:10;Mediano
4/05/2023 8:11;Mediano
4/05/2023 8:23;Mediano
4/05/2023 8:29;Mediano
4/05/2023 8:30;Mediano
4/05/2023 8:42;Peque–o
4/05/2023 8:44;Grande
4/05/2023 8:45;Peque–o
4/05/2023 8:55;Peque–o
4/05/2023 8:56;Mediano
4/05/2023 8:58;Grande
4/05/2023 8:58;Peque–o
4/05/2023 9:02;Mediano
4/05/2023 9:05;Peque–o
4/05/2023 9:05;Grande
4/05/2023 9:07;Peque–o
4/05/2023 9:09;Peque–o
4/05/2023 9:10;Grande
4/05/2023 9:14;Mediano
4/05/2023 9:24;Grande
4/05/2023 9:28;Grande
4/05/2023 9:30;Mediano
4/05/2023 9:39;Peque–o
4/05/2023 9:46;Grande
4/05/2023 9:46;Grande
4/05/2023 9:53;Mediano
4/05/2023 9:54;Mediano
4/05/2023 10:00;Peque–o
4/05/2023 10:01;Mediano
4/05/2023 10:03;Mediano
4/05/2023 10:13;Mediano
4/05/2023 10:33;Mediano
4/05/2023 10:34;Grande
4/05/2023 10:37;Mediano
4/05/2023 10:37;Mediano
4/05/2023 10:42;Mediano
4/05/2023 10:42;Mediano
4/05/2023 10:58;Peque–o
4/05/2023 11:07;Mediano
4/05/2023 11:10;Grande
4/05/2023 11:14;Mediano
4/05/2023 11:17;Grande
4/05/2023 11:21;Grande
4/05/2023 11:24;Grande
4/05/2023 11:28;Mediano
4/05/2023 11:32;Grande
4/05/2023 11:35;Mediano
4/05/2023 11:39;Mediano
4/05/2023 11:42;Mediano
4/05/2023 11:46;Mediano
4/05/2023 11:50;Mediano
4/05/2023 11:53;Grande
4/05/2023 11:56;Mediano
4/05/2023 12:00;Mediano
4/05/2023 12:03;Mediano
4/05/2023 12:07;Mediano
4/05/2023 12:11;Mediano
4/05/2023 12:15;Grande
4/05/2023 12:19;Mediano
4/05/2023 12:22;Peque–o
4/05/2023 12:26;Grande
4/05/2023 12:29;Mediano
4/05/2023 12:32;Grande
4/05/2023 12:36;Grande
4/05/2023 12:40;Mediano
4/05/2023 12:43;Mediano
4/05/2023 12:47;Grande
4/05/2023 12:51;Mediano
4/05/2023 12:55;Grande
4/05/2023 12:58;Grande
4/05/2023 13:02;Mediano
4/05/2023 13:06;Mediano
4/05/2023 13:10;Mediano
4/05/2023 13:13;Mediano
4/05/2023 13:16;Mediano
4/05/2023 13:20;Grande
4/05/2023 13:24;Mediano
4/05/2023 13:29;Grande
4/05/2023 13:32;Mediano
4/05/2023 13:36;Mediano
4/05/2023 13:39;Mediano
4/05/2023 13:44;Mediano
4/05/2023 13:48;Mediano
4/05/2023 13:51;Grande
4/05/2023 13:55;Mediano
4/05/2023 13:59;Mediano
4/05/2023 14:03;Mediano
4/05/2023 14:07;Grande
4/05/2023 14:11;Mediano
4/05/2023 14:15;Mediano
4/05/2023 14:19;Mediano
4/05/2023 14:22;Mediano
4/05/2023 14:26;Mediano
4/05/2023 14:30;Mediano
4/05/2023 14:34;Grande
4/05/2023 14:38;Grande
4/05/2023 14:41;Grande
4/05/2023 14:45;Grande
4/05/2023 14:48;Grande
4/05/2023 14:52;Peque–o
4/05/2023 14:56;Mediano
4/05/2023 14:59;Mediano
4/05/2023 15:04;Grande
4/05/2023 15:12;Grande
4/05/2023 15:41;Mediano
4/05/2023 15:42;Mediano
4/05/2023 15:45;Grande
4/05/2023 15:49;Mediano
4/05/2023 16:06;Mediano
4/05/2023 16:11;Mediano
4/05/2023 16:24;Mediano
4/05/2023 16:25;Grande
4/05/2023 16:30;Grande
4/05/2023 16:31;Mediano
4/05/2023 16:32;Grande
4/05/2023 16:36;Mediano
4/05/2023 16:47;Mediano
4/05/2023 17:03;Grande
4/05/2023 17:07;Grande
4/05/2023 17:12;Mediano
4/05/2023 17:35;Mediano
4/05/2023 17:46;Grande
4/05/2023 17:46;Mediano
4/05/2023 17:54;Mediano
4/05/2023 17:55;Mediano
4/05/2023 18:05;Mediano
4/05/2023 18:24;Mediano
4/05/2023 18:25;Mediano
4/05/2023 18:27;Mediano
4/05/2023 18:38;Mediano
4/05/2023 18:43;Mediano
4/05/2023 18:51;Mediano
4/05/2023 19:01;Grande
4/05/2023 19:13;Mediano
4/05/2023 19:20;Peque–o
4/05/2023 19:25;Peque–o
4/05/2023 19:26;Mediano
4/05/2023 19:38;Mediano
4/05/2023 19:41;Grande
4/05/2023 19:42;Mediano
4/05/2023 19:45;Peque–o
4/05/2023 20:13;Mediano
4/05/2023 20:31;Grande
4/05/2023 20:36;Grande
4/05/2023 20:43;Mediano
4/05/2023 20:52;Grande
4/05/2023 20:53;Mediano
4/05/2023 20:56;Mediano
4/05/2023 21:04;Mediano
4/05/2023 21:18;Peque–o
4/05/2023 21:26;Grande
4/05/2023 21:41;Mediano
4/05/2023 21:48;Mediano
4/05/2023 22:00;Mediano
4/05/2023 22:13;Mediano
4/05/2023 22:23;Grande
4/05/2023 22:33;Grande
4/05/2023 22:40;Peque–o
4/05/2023 22:52;Grande
4/05/2023 23:06;Grande
4/05/2023 23:20;Grande
4/05/2023 23:34;Mediano
4/05/2023 23:44;Mediano
4/05/2023 23:54;Grande
5/05/2023 0:08;Mediano
5/05/2023 0:16;Grande
5/05/2023 0:31;Grande
5/05/2023 0:41;Mediano
5/05/2023 0:54;Mediano
5/05/2023 1:06;Peque–o
5/05/2023 1:15;Mediano
5/05/2023 1:27;Mediano
5/05/2023 1:39;Mediano
5/05/2023 1:51;Mediano
5/05/2023 2:01;Mediano
5/05/2023 2:15;Mediano
5/05/2023 2:28;Mediano
